Landmark,Type,Height,Year Built,Campus
Sather Gate,Gate,30,1910,UC Berkeley
Campanile,Tower,307,1914,UC Berkeley
Doe Library,Library,80,1911,UC Berkeley
Memorial Glade,Open Space,0,,UC Berkeley
Sproul Plaza,Plaza,0,1962,UC Berkeley
Evans Hall,Building,200,1971,UC Berkeley
Haas Pavilion,Arena,85,1999,UC Berkeley
Great Dome,Dome,135,1916,MIT
Stata Center,Building,70,2004,MIT
Killian Court,Open Space,0,1916,MIT
Barker Engineering Library,Library,60,1950,MIT
Green Building,Tower,295,1964,MIT
Hoover Tower,Tower,285,1941,Stanford
Green Library,Library,65,1919,Stanford
Main Quad,Open Space,0,1906,Stanford
Memorial Church,Chapel,170,1903,Stanford
Cantor Arts Center,Museum,45,1894,Stanford
